SMILES,Name,Val
NC(=O)C[C@H](NC(=O)CN1C(=O)c2ccccc2C1=O)C(=O)O,ZINC000002556646,0
O=C1C=CC(=O)N1CCOCCOCCN1C(=O)C=CC1=O,ZINC000002572930,0
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1,ZINC000002606131,0
Cn1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,ZINC000002646773,0
Cn1c(N)c(C(=O)CSc2n[nH]c(N)n2)c(=O)n(C)c1=O,ZINC000002662364,0
CN(C)S(=O)(=O)N1CCN(C(=O)N2CCOCC2)CC1,ZINC000002709741,0
CCOCCCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000002821706,0
COC1(OC)c2no[n+]([O-])c2C(OC)(OC)c2no[n+]([O-])c21,ZINC000002865127,0
Cn1c2nc(SCC(=O)O)n(CC(N)=O)c2c(=O)[nH]c1=O,ZINC000002922855,0
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCC[C@@H](C(=O)O)C1,ZINC000002928133,0
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCC[C@H](C(=O)O)C1,ZINC000002928134,0
CN(CC(=O)O)S(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,ZINC000002928577,0
CC(=O)NCCNC(=O)Cn1c(=O)[nH]c2ccccc2c1=O,ZINC000002951978,0
Cc1cc(NNS(C)(=O)=O)nc(NNS(C)(=O)=O)n1,ZINC000003121506,0
Cn1c2nc(Br)n(CC(N)=O)c2c(=O)[nH]c1=O,ZINC000003209314,0
CSc1nc2c(nc[nH]c2=O)n1[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,ZINC000003212716,0
CSc1nc2c(nc[nH]c2=O)n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,ZINC000003212719,0
Cn1cnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,ZINC000003245945,0
Cn1c(N)c(C(=O)COC(=O)[C@H]2CCC(=O)N2)c(=O)n(C)c1=O,ZINC000003248521,0
Cn1c(N)c(C(=O)COC(=O)[C@@H]2CCC(=O)N2)c(=O)n(C)c1=O,ZINC000003248522,0
Nc1ccn([C@@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,ZINC000003645374,0
C[C@H](NS(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C(=O)O,ZINC000003656277,0
C[C@@H](NS(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C(=O)O,ZINC000003656278,0
O=C(NCCN1CCOC1=O)C(=O)NCCN1CCOC1=O,ZINC000003663697,0
CCN1C(=O)N(CC)[C@@H](NNC(N)=S)[C@@H]1NNC(N)=S,ZINC000003671552,0
CCN1C(=O)N(CC)[C@H](NNC(N)=S)[C@H]1NNC(N)=S,ZINC000003671553,0
O=C(NCCO)C(C(=O)NCCO)[C@H]1CCS(=O)(=O)C1,ZINC000003681341,0
O=S1(=O)CC[C@H](NC(=S)N[C@H]2CCS(=O)(=O)C2)C1,ZINC000003681343,0
O=S(=O)(N[C@H]1CCS(=O)(=O)C1)[C@H]1CCS(=O)(=O)C1,ZINC000003683929,0
CN1CCN(c2nc3c(N)ncn(C[C@H](O)CO)c-3n2)CC1,ZINC000003684630,0
NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)O,ZINC000003776571,0
C[C@@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,ZINC000003781867,0
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,ZINC000003787060,0
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)[nH]1,ZINC000003792367,0
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@@H]1O,ZINC000003793840,0
Cn1nc(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,ZINC000003808299,0
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@@H]2S1(=O)=O,ZINC000003831502,0
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,ZINC000003861209,0
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,ZINC000003861744,0
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,ZINC000003861759,0
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(Cl)n1,ZINC000003861763,0
Nc1ccn([C@@H]2C[C@H](O)[C@H](COP(=O)(O)O)O2)c(=O)n1,ZINC000003869816,0
O=c1ccn([C@@H]2C[C@H](O)[C@H](COP(=O)(O)O)O2)c(=O)[nH]1,ZINC000003869888,0
CC(=O)N[C@@H]1[C@H](O)C[C@](O)(C(=O)O)O[C@@H]1[C@H](O)[C@H](O)CO,ZINC000003870085,0
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ZINC000003875976,0
CC(C)CCn1c(NN)nc2c1c(=O)n(CC(N)=O)c(=O)n2C,ZINC000003876928,0
COc1cc(C=O)ccc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,ZINC000003881802,0
OCCN1CCOCCOCCN(CCO)CCOCC1,ZINC000003895792,0
COCCn1c(N2CCN(C)CC2)nc2c1c(=O)[nH]c(=O)n2C,ZINC000003903343,0
Nc1ccn([C@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)n1,ZINC000003954230,0
CCNC(=O)[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1O,ZINC000003995401,0
Nc1ccccc1C(=O)OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,ZINC000004000004,0
O=S(=O)(N[C@@H]1CCS(=O)(=O)C1)[C@H]1CCS(=O)(=O)C1,ZINC000004006583,0
OCCNc1nc(N2CCOCC2)nc(N2CCOCC2)n1,ZINC000004006659,0
CC(=O)OCCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000004013103,0
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1Br,ZINC000004025773,0
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1SC[C@H](O)CN,ZINC000004027790,0
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1SC[C@@H](O)CN,ZINC000004027791,0
O=C(NCCO)C(C(=O)NCCO)[C@@H]1CCS(=O)(=O)C1,ZINC000004064192,0
O=C(OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO)c1ccccc1O,ZINC000004064300,0
O=C(OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO)c1ccccc1Cl,ZINC000004064369,0
COc1cc(C=O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC000004081510,0
O=C(/C=C/c1ccccc1)OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,ZINC000004082798,0
Nc1ccn([C@@H]2O[C@@H]3CO[P@](=O)(O)O[C@H]3[C@H]2O)c(=O)n1,ZINC000004095499,0
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,ZINC000004095646,0
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,ZINC000004095654,0
Nc1ccn([C@@H]2O[C@H](CO)[C@H]3O[P@](=O)(O)O[C@H]32)c(=O)n1,ZINC000004095844,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)n1,ZINC000004096023,0
CC(=O)N[C@H]1[C@H](O)O[C@H](COS(=O)(=O)O)[C@@H](O)[C@@H]1O,ZINC000004096329,0
CC(=O)N[C@H]1[C@H](O)O[C@H](COS(=O)(=O)O)[C@H](O)[C@@H]1O,ZINC000004096360,0
NC[C@H](CC[C@H](N)C(=O)O)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,ZINC000004096825,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1,ZINC000004096919,0
OC/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,ZINC000004096936,0
Nc1nc(N)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)[nH]1,ZINC000004097589,0
O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3,ZINC000004097652,0
O=C(N[C@H]1CCS(=O)(=O)C1)C(=O)N[C@H]1CCS(=O)(=O)C1,ZINC000004110812,0
CC(=O)Nc1ccc(N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,ZINC000004119079,0
CN(NO[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)c1ccccc1,ZINC000004127867,0
CN(NO[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)c1ccccc1,ZINC000004127869,0
CN1C(=O)N[C@@H]2[C@@H]1N(S(C)(=O)=O)CCN2S(C)(=O)=O,ZINC000004155628,0
CN1C(=O)N[C@@H]2[C@H]1N(S(C)(=O)=O)CCN2S(C)(=O)=O,ZINC000004155630,0
CN1C(=O)N[C@H]2[C@H]1N(S(C)(=O)=O)CCN2S(C)(=O)=O,ZINC000004155634,0
CN(C)S(=O)(=O)N1CCN(S(=O)(=O)N(C)C)CC1,ZINC000004198689,0
CC(=O)N[C@@H]([C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](O)CC(=O)C(=O)O,ZINC000004214715,0
NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,ZINC000004217438,0
O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,ZINC000004228260,0
COCCn1c(N2CCNCC2)nc2c1c(=O)[nH]c(=O)n2C,ZINC000004247370,0
NC(=O)c1ccccc1NS(=O)(=O)c1c[nH]c(=O)[nH]c1=O,ZINC000004270318,0
Cn1cc(S(=O)(=O)NCc2ccccn2)c(=O)n(C)c1=O,ZINC000004271548,0
Cn1cc(S(=O)(=O)NCc2ccncc2)c(=O)n(C)c1=O,ZINC000004271550,0
Cn1c(=O)c2c(n(C)c1=O)NCN(CCCN1CCOCC1)C2,ZINC000004282937,0
COC(=O)[C@]1(O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1,ZINC000004293698,0
O=C(N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)OCc1ccccc1,ZINC000004293838,0
CCn1c(C)cn2c1nc1c2c(=O)n(CC(N)=O)c(=O)n1C,ZINC000004314177,0
Cc1c(C)n2c(nc3c2c(=O)n(CC(N)=O)c(=O)n3C)n1C,ZINC000004314495,0
Cn1c2nc(CN3CCC(C(N)=O)CC3)[nH]c2c(=O)n(C)c1=O,ZINC000004314877,0
CCOCCn1c(N2CCNCC2)nc2c1c(=O)[nH]c(=O)n2C,ZINC000004316579,0
C[C@H](O)Cn1c2c(nc1N1CCN(C)CC1)n(C)c(=O)[nH]c2=O,ZINC000004318057,0
C[C@@H](O)Cn1c2c(nc1N1CCN(C)CC1)n(C)c(=O)[nH]c2=O,ZINC000004318058,0
COC(=O)/C=C/c1cn([C@@H]2OC[C@@H](CO)[C@@H]2O)c(=O)[nH]c1=O,ZINC000004322028,0
