SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CN(C)[C@H]1CN(C(=O)[C@](C)(O)Cn2ccccc2=O)C[C@@H]1O,ZINC000516661846,Filter82_pyridinium > 0,309.3660000000001,-1.2673999999999974,2,6,86.01,4
COC(=O)CNC(=O)CNS(=O)(=O)C[C@H]1CCCCO1,ZINC000516665708,OK,308.3560000000001,-1.2358999999999989,2,6,110.8,7
COC(=O)CNC(=O)CNS(=O)(=O)C[C@@H]1CCCCO1,ZINC000516665709,OK,308.3560000000001,-1.2358999999999989,2,6,110.8,7
CCN(CC(=O)NC(C)C)C(=O)Cn1c(=O)ccn(C)c1=O,ZINC000516673892,Filter82_pyridinium > 0,310.35400000000004,-1.0798999999999976,1,6,93.41,6
C[C@@H]1CN(C(=O)NCCN2CCOC[C@H]2C)C[C@H](C(N)=O)O1,ZINC000516697196,OK,314.386,-1.008699999999995,2,5,97.13000000000001,4
C[C@@H]1CN(C(=O)NCCN2CCOC[C@@H]2C)C[C@H](C(N)=O)O1,ZINC000516697197,OK,314.386,-1.008699999999995,2,5,97.13000000000001,4
C[C@@H]1CN(C(=O)NCCN2CCOC[C@@H]2C)C[C@@H](C(N)=O)O1,ZINC000516697198,OK,314.386,-1.008699999999995,2,5,97.13000000000001,4
C[C@@H]1CN(C(=O)NCCN2CCOC[C@H]2C)C[C@@H](C(N)=O)O1,ZINC000516697199,OK,314.386,-1.008699999999995,2,5,97.13000000000001,4
COCCN(C)S(=O)(=O)N[C@@H](C(=O)O)c1cnn(C)c1,ZINC000516699064,OK,306.34400000000005,-1.0415999999999976,2,6,113.76000000000002,8
COCCN(C)S(=O)(=O)N[C@H](C(=O)O)c1cnn(C)c1,ZINC000516699065,OK,306.34400000000005,-1.0415999999999976,2,6,113.76000000000002,8
NC[C@@H]1CCCC[C@@]12NC(=O)N(CC(=O)N1CCNC1=O)C2=O,ZINC000516766061,OK,323.353,-1.0222999999999982,3,5,124.84,3
NC[C@H]1CCCC[C@]12NC(=O)N(CC(=O)N1CCNC1=O)C2=O,ZINC000516766063,OK,323.353,-1.0222999999999982,3,5,124.84,3
NC[C@@H]1CCCC[C@]12NC(=O)N(CC(=O)N1CCNC1=O)C2=O,ZINC000516766064,OK,323.353,-1.0222999999999982,3,5,124.84,3
NC[C@H]1CCCC[C@@]12NC(=O)N(CC(=O)N1CCNC1=O)C2=O,ZINC000516766065,OK,323.353,-1.0222999999999982,3,5,124.84,3
CN(C)S(=O)(=O)CC(=O)N(CC(=O)O)C1CCOCC1,ZINC000516770439,OK,308.3560000000001,-1.0299999999999967,1,5,104.22000000000001,6
CS(=O)(=O)N1CC[C@@H](NC(=O)C(=O)N[C@H](CN)C2CC2)C1,ZINC000516778774,Filter41_12_dicarbonyl > 0,318.39900000000017,-2.0099999999999962,3,5,121.60000000000001,5
CS(=O)(=O)N1CC[C@H](NC(=O)C(=O)N[C@@H](CN)C2CC2)C1,ZINC000516778775,Filter41_12_dicarbonyl > 0,318.39900000000017,-2.0099999999999962,3,5,121.60000000000001,5
CS(=O)(=O)N1CC[C@H](NC(=O)C(=O)N[C@H](CN)C2CC2)C1,ZINC000516778776,Filter41_12_dicarbonyl > 0,318.39900000000017,-2.0099999999999962,3,5,121.60000000000001,5
CS(=O)(=O)N1CC[C@@H](NC(=O)C(=O)N[C@@H](CN)C2CC2)C1,ZINC000516778777,Filter41_12_dicarbonyl > 0,318.39900000000017,-2.0099999999999962,3,5,121.60000000000001,5
CCCC[C@H](NC(N)=O)C(=O)N1CCN2C(=O)[C@H](N)C[C@H]2C1,ZINC000516785568,OK,311.3860000000001,-1.0160999999999965,3,4,121.75999999999998,5
CCCC[C@H](NC(N)=O)C(=O)N1CCN2C(=O)[C@@H](N)C[C@H]2C1,ZINC000516785569,OK,311.3860000000001,-1.0160999999999965,3,4,121.75999999999998,5
CCCC[C@H](NC(N)=O)C(=O)N1CCN2C(=O)[C@H](N)C[C@@H]2C1,ZINC000516785570,OK,311.3860000000001,-1.0160999999999965,3,4,121.75999999999998,5
CCCC[C@H](NC(N)=O)C(=O)N1CCN2C(=O)[C@@H](N)C[C@@H]2C1,ZINC000516785571,OK,311.3860000000001,-1.0160999999999965,3,4,121.75999999999998,5
CN(C)CCNC(=O)c1cc2c(n1C)n(C)c(=O)n(C)c2=O,ZINC000516832982,Filter82_pyridinium > 0,307.35400000000004,-1.1328999999999985,1,7,81.27000000000001,4
CCNC(=O)CN1CCN(C(=O)CCNS(C)(=O)=O)CC1,ZINC000516844498,OK,320.41500000000013,-1.7939999999999956,2,5,98.82,7
CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)NCCN)cc1,ZINC000516867576,OK,314.3670000000001,-1.0017999999999987,4,5,130.39000000000001,7
CN(C(=O)[C@@H]1CC[C@H]1C(N)=O)[C@H]1CCN(S(C)(=O)=O)C1,ZINC000516877431,OK,303.384,-1.0097999999999978,1,4,100.78,4
CN(C(=O)[C@@H]1CC[C@@H]1C(N)=O)[C@@H]1CCN(S(C)(=O)=O)C1,ZINC000516877433,OK,303.384,-1.0097999999999978,1,4,100.78,4
CN(C(=O)[C@@H]1CC[C@@H]1C(N)=O)[C@H]1CCN(S(C)(=O)=O)C1,ZINC000516877434,OK,303.384,-1.0097999999999978,1,4,100.78,4
CN(C(=O)[C@@H]1CC[C@H]1C(N)=O)[C@@H]1CCN(S(C)(=O)=O)C1,ZINC000516877435,OK,303.384,-1.0097999999999978,1,4,100.78,4
CC(C)(C(=O)NCCN1CCNC(=O)C1)S(=O)(=O)C1CC1,ZINC000516882488,OK,317.4110000000001,-1.109799999999997,2,5,95.58000000000001,6
Cn1cc(NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nn1,ZINC000516900892,Filter82_pyridinium > 0,318.2970000000001,-1.799099999999998,1,10,121.63,3
CCN1C[C@@H](NC(=O)NCCS(=O)(=O)NC2CC2)CC1=O,ZINC000516911635,OK,318.39900000000017,-1.011799999999998,3,4,107.61000000000001,7
CCN1C[C@H](NC(=O)NCCS(=O)(=O)NC2CC2)CC1=O,ZINC000516911636,OK,318.39900000000017,-1.011799999999998,3,4,107.61000000000001,7
CN1CCO[C@@H]2CN(C(=O)C(=O)N3CCC[C@]3(C)CO)C[C@@H]21,ZINC000516912982,Filter41_12_dicarbonyl > 0,311.382,-1.0987999999999971,1,5,73.32000000000001,1
CN1CCO[C@@H]2CN(C(=O)C(=O)N3CCC[C@@]3(C)CO)C[C@@H]21,ZINC000516912983,Filter41_12_dicarbonyl > 0,311.382,-1.0987999999999971,1,5,73.32000000000001,1
COc1ncccc1CNC(=O)C(=O)N1CCN(C)C[C@H]1CN,ZINC000516916884,Filter41_12_dicarbonyl > 0,321.3810000000001,-1.1922999999999968,2,6,100.78999999999998,4
COc1ncccc1CNC(=O)C(=O)N1CCN(C)C[C@@H]1CN,ZINC000516916885,Filter41_12_dicarbonyl > 0,321.3810000000001,-1.1922999999999968,2,6,100.78999999999998,4
NC(=O)c1ccccc1NCC(=O)NCC(=O)N1CCNCC1,ZINC000516925573,OK,319.36500000000007,-1.2545999999999984,4,5,116.55999999999999,6
CNS(=O)(=O)NCC(=O)N[C@@H]1CCN(CC(F)F)C1,ZINC000516934463,OK,300.331,-1.5041999999999984,3,4,90.54,7
CNS(=O)(=O)NCC(=O)N[C@H]1CCN(CC(F)F)C1,ZINC000516934464,OK,300.331,-1.5041999999999984,3,4,90.54,7
CS(=O)(=O)N1CCN(C(=O)[C@H]2CCCS2(=O)=O)CC1,ZINC000516934904,OK,310.3970000000001,-1.3325999999999971,0,5,91.83000000000001,2
